,City,Climate Classification,Lat,Lon,Country,Population
0,Tokyo,Cfa,35.6839,139.7744,Japan,39105000.0
1,Jakarta,Af,-6.2146,106.8451,Indonesia,35362000.0
2,Delhi,BSk,28.6667,77.2167,India,31870000.0
3,Delhi,BSk,37.4306,-120.7759,United States,12301.0
4,Manila,Am,14.6,120.9833,Philippines,23971000.0
5,São Paulo,Cfa,-23.5504,-46.6339,Brazil,22495000.0
6,Seoul,Dwa,37.56,126.99,South Korea,22394000.0
7,Mumbai,Aw,19.0758,72.8775,India,22186000.0
8,Shanghai,Cfa,31.1667,121.4667,China,22118000.0
9,Mexico City,Cwb,19.4333,-99.1333,Mexico,21505000.0
10,Guangzhou,Cwa,23.1288,113.259,China,21489000.0
11,Cairo,Dfb,30.0444,31.2358,Egypt,19787000.0
12,Cairo,Dfb,30.8791,-84.205,United States,9369.0
13,Cairo,Dfb,42.2965,-74.0205,United States,6423.0
14,Beijing,Dwa,39.904,116.4075,China,19437000.0
15,New York,Cfa,40.6943,-73.9249,United States,18713220.0
16,Kolkāta,Aw,22.5727,88.3639,India,18698000.0
17,Moscow,Csb,55.7558,37.6178,Russia,17693000.0
18,Moscow,Csb,46.7307,-116.9986,United States,26145.0
19,Bangkok,Aw,13.75,100.5167,Thailand,17573000.0
20,Dhaka,Aw,23.7289,90.3944,Bangladesh,16839000.0
21,Buenos Aires,As,-34.5997,-58.3819,Argentina,16216000.0
22,Buenos Aires,As,3.0164,-76.6411,Colombia,34631.0
23,Buenos Aires,As,9.1985,-83.2816,Costa Rica,29454.0
24,Buenos Aires,As,-7.7258,-35.3269,Brazil,12537.0
25,Ōsaka,Cfa,34.752,135.4582,Japan,15490000.0
26,Lagos,Csa,6.45,3.4,Nigeria,15487000.0
27,Lagos,Csa,37.1,-8.6667,Portugal,31049.0
28,Istanbul,Csa,41.01,28.9603,Turkey,15311000.0
29,Karachi,BWh,24.86,67.01,Pakistan,15292000.0
30,Kinshasa,Aw,-4.3317,15.3139,Congo (Kinshasa),15056000.0
31,Shenzhen,Cwa,22.535,114.054,China,14678000.0
32,Bangalore,Aw,12.9791,77.5913,India,13999000.0
33,Ho Chi Minh City,Aw,10.8167,106.6333,Vietnam,13954000.0
34,Tehran,Csa,35.7,51.4167,Iran,13819000.0
35,Los Angeles,Csb,34.1139,-118.4068,United States,12750807.0
36,Rio de Janeiro,Aw,-22.9083,-43.1964,Brazil,12486000.0
37,Chengdu,Cwa,30.66,104.0633,China,11920000.0
38,Baoding,Dwa,38.8671,115.4845,China,11860000.0
39,Chennai,Aw,13.0825,80.275,India,11564000.0
40,Lahore,BSh,31.5497,74.3436,Pakistan,11148000.0
41,London,Cfa,51.5072,-0.1275,United Kingdom,11120000.0
42,London,Cfa,42.9836,-81.2497,Canada,383822.0
43,London,Cfa,37.1175,-84.0767,United States,37714.0
44,London,Cfa,39.8936,-83.4376,United States,14870.0
45,Paris,Dfb,48.8566,2.3522,France,11027000.0
46,Paris,Dfb,33.6688,-95.546,United States,26010.0
47,Paris,Dfb,38.2016,-84.2719,United States,12485.0
48,Paris,Dfb,36.2934,-88.3065,United States,10536.0
49,Paris,Dfb,39.6149,-87.6904,United States,8394.0
50,Paris,Dfb,44.2445,-70.4883,United States,5111.0
51,Tianjin,Dwa,39.1467,117.2056,China,10932000.0
52,Linyi,Cwa,35.0606,118.3425,China,10820000.0
53,Shijiazhuang,Cwa,38.0422,114.5086,China,10784600.0
54,Zhengzhou,Cwa,34.7492,113.6605,China,10136000.0
55,Nanyang,Cwa,32.9987,112.5292,China,10013600.0
56,Hyderābād,Aw,17.3617,78.4747,India,9840000.0
57,Wuhan,Cfa,30.5872,114.2881,China,9729000.0
58,Handan,Cwa,36.6116,114.4894,China,9549700.0
59,Nagoya,Cfa,35.1167,136.9333,Japan,9522000.0
60,Weifang,Cwa,36.7167,119.1,China,9373000.0
61,Lima,Dfa,-12.06,-77.0375,Peru,8992000.0
62,Lima,Dfa,40.741,-84.1121,United States,68878.0
63,Zhoukou,Cwa,33.625,114.6418,China,8953172.0
64,Luanda,BSh,-8.8383,13.2344,Angola,8883000.0
65,Ganzhou,Cfa,25.8292,114.9336,China,8677600.0
66,Tongshan,Cwa,34.261,117.1859,China,8669000.0
67,Kuala Lumpur,Af,3.1478,101.6953,Malaysia,8639000.0
68,Chicago,Dfa,41.8373,-87.6862,United States,8604203.0
69,Heze,Cwa,35.2333,115.4333,China,8287693.0
70,Chongqing,Cfa,29.55,106.5069,China,8261000.0
71,Hanoi,Cwa,21.0245,105.8412,Vietnam,8246600.0
72,Fuyang,Cfa,32.8986,115.8045,China,8200264.0
73,Fuyang,Cfa,30.0553,119.95,China,771000.0
74,Changsha,Cwa,28.1987,112.9709,China,8154700.0
75,Changsha,Cwa,22.3762,112.6877,China,717700.0
76,Dongguan,BSk,23.0475,113.7493,China,8142000.0
77,Dongguan,BSk,39.014,111.0768,China,75135.0
78,Jining,Dwb,35.4,116.5667,China,8081905.0
79,Jining,Dwb,41.03,113.08,China,281716.0
80,Jinan,Cwa,36.6667,116.9833,China,7967400.0
81,Pune,Aw,18.5196,73.8553,India,7948000.0
82,Foshan,Cwa,23.0292,113.1056,China,7905700.0
83,Bogotá,Cfb,4.6126,-74.0705,Colombia,7743955.0
84,Ahmedabad,BSh,23.03,72.58,India,7717000.0
85,Nanjing,Cfa,32.05,118.7667,China,7729000.0
86,Changchun,Dwa,43.9,125.2,China,7674439.0
87,Tangshan,Dwa,39.6292,118.1742,China,7577289.0
88,Cangzhou,Cwa,38.3037,116.8452,China,7544300.0
89,Dar es Salaam,Aw,-6.8,39.2833,Tanzania,7461000.0
90,Hefei,Cfa,31.8639,117.2808,China,7457027.0
91,Hong Kong,Cwa,22.3069,114.1831,Hong Kong,7398000.0
92,Shaoyang,Cfa,27.2418,111.4725,China,7370500.0
93,Shaoyang,Cfa,32.9387,119.8404,China,1253548.0
94,Zhanjiang,Cwa,21.1967,110.4031,China,7332000.0
95,Shangqiu,Cwa,34.4259,115.6467,China,7325300.0
96,Nantong,Cfa,31.9829,120.8873,China,7283622.0
97,Yancheng,Cwa,33.3936,120.1339,China,7260240.0
98,Nanning,Cfa,22.8192,108.315,China,7254100.0
99,Hengyang,Cfa,26.8968,112.5857,China,7243400.0
100,Zhumadian,Cwa,32.9773,114.0253,China,7231234.0
101,Shenyang,Dwa,41.8039,123.4258,China,7208000.0
102,Xingtai,Cwa,37.0659,114.4753,China,7104103.0
103,Xi’an,Cwa,34.2667,108.9,China,7090000.0
104,Santiago,Aw,-33.45,-70.6667,Chile,7026000.0
105,Santiago,Aw,19.45,-70.7,Dominican Republic,1343423.0
106,Santiago,Aw,16.6833,121.55,Philippines,148580.0
107,Santiago,Aw,8.1004,-80.9833,Panama,45955.0
108,Santiago,Aw,-29.1919,-54.8669,Brazil,50635.0
109,Santiago,Aw,25.4333,-100.1333,Mexico,37886.0
110,Santiago,Aw,9.2654,125.5602,Philippines,28657.0
111,Santiago,Aw,17.3,120.45,Philippines,19471.0
112,Santiago,Aw,9.8291,-84.3044,Costa Rica,12600.0
113,Santiago,Aw,-14.1892,-75.7126,Peru,10449.0
114,Santiago,Aw,18.45,-95.8333,Mexico,5790.0
115,Yantai,Cwa,37.3997,121.2664,China,6968202.0
116,Riyadh,BWh,24.65,46.71,Saudi Arabia,6889000.0
117,Luoyang,Cwa,34.6587,112.4245,China,6888500.0
118,Kunming,Cwb,25.0433,102.7061,China,6850000.0
119,Shangrao,Cfa,28.4419,117.9633,China,6810700.0
120,Hangzhou,Cfa,30.25,120.1675,China,6713000.0
121,Bijie,Cwb,27.3019,105.2863,China,6686100.0
122,Quanzhou,Cfa,24.9139,118.5858,China,6480000.0
123,Miami,Cfa,25.7839,-80.2102,United States,6445545.0
124,Miami,Cfa,36.8877,-94.8718,United States,15571.0
125,Wuxi,Cfa,31.5667,120.2833,China,6372624.0
126,Huanggang,Cfa,30.45,114.875,China,6333000.0
127,Maoming,Cwa,21.6618,110.9178,China,6313200.0
128,Nanchong,Cwa,30.7991,106.0784,China,6278614.0
129,Zunyi,Cfa,27.705,106.9336,China,6270700.0
130,Qujing,Cwb,25.5102,103.8029,China,6155400.0
131,Baghdad,BWh,33.35,44.4167,Iraq,6107000.0
132,Xinyang,Cfa,32.1264,114.0672,China,6109106.0
133,Jieyang,Cfa,23.5533,116.3649,China,6089400.0
134,Khartoum,BWh,15.6031,32.5265,Sudan,6017000.0
135,Madrid,Af,40.4167,-3.7167,Spain,6006000.0
136,Madrid,Af,4.7306,-74.2639,Colombia,112254.0
137,Madrid,Af,9.2667,125.9667,Philippines,16653.0
138,Allahābād,Csa,25.45,81.85,India,5954391.0
139,Yulin,Cfa,22.6293,110.1507,China,5849700.0
140,Changde,Cfa,29.0397,111.6839,China,5827200.0
141,Liaocheng,Cwa,36.45,115.9833,China,5789863.0
142,Qingdao,Cwa,36.1167,120.4,China,5775000.0
143,Dallas,Dfb,32.7936,-96.7662,United States,5743938.0
144,Dallas,Dfb,44.9222,-123.3131,United States,17859.0
145,Dallas,Dfb,33.9153,-84.8416,United States,13981.0
146,Dallas,Dfb,41.3604,-75.9662,United States,9208.0
147,Nangandao,Cwa,35.2992,113.8851,China,5708191.0
148,Xiangyang,Cwa,32.0654,112.1531,China,5680000.0
149,Xiangyang,Cwa,34.2999,108.4816,China,541554.0
150,Philadelphia,Cfa,40.0077,-75.1339,United States,5649300.0
151,Philadelphia,Cfa,32.7761,-89.1221,United States,7345.0
152,Giza,BWh,29.987,31.2118,Egypt,5598402.0
153,Lu’an,Cfa,31.7542,116.5078,China,5611701.0
154,Zhaotong,Cwb,27.3328,103.7144,China,5591000.0
155,Yichun,Dwb,27.8041,114.383,China,5573200.0
156,Yichun,Dwb,47.7235,128.8893,China,1148126.0
157,Dezhou,Cwa,37.4513,116.3105,China,5568235.0
158,Nairobi,Cfb,-1.2864,36.8172,Kenya,5545000.0
159,Nanchang,Cfa,28.6842,115.8872,China,5545500.0
160,Tai’an,Cwa,36.2001,117.0809,China,5494207.0
161,Dazhou,Cwa,31.2152,107.4947,China,5468097.0
162,Houston,Cfb,29.7863,-95.3889,United States,5464251.0
163,Houston,Cfb,55.867,-4.5521,United Kingdom,6430.0
164,Guadalajara,Csa,20.6767,-103.3475,Mexico,5437000.0
165,Guadalajara,Csa,40.6337,-3.1674,Spain,87064.0
166,Yongzhou,Cfa,26.4515,111.5953,China,5452100.0
167,Atlanta,Cfa,33.7627,-84.4224,United States,5449398.0
168,Atlanta,Cfa,33.1136,-94.1672,United States,5526.0
169,Rangoon,Am,16.795,96.16,Myanmar,5430000.0
170,Toronto,Dfb,43.7417,-79.3733,Canada,5429524.0
171,Suihua,Dwa,46.6384,126.9808,China,5418153.0
172,Saint Petersburg,Dfb,59.95,30.3167,Russia,5384342.0
173,Washington,Dfa,38.9047,-77.0163,United States,5379184.0
174,Washington,Dfa,54.9,-1.52,United Kingdom,67158.0
175,Washington,Dfa,39.747,-75.0724,United States,47833.0
176,Washington,Dfa,37.1304,-113.4877,United States,29174.0
177,Washington,Dfa,40.7877,-74.7918,United States,18429.0
178,Washington,Dfa,40.7049,-89.4346,United States,16516.0
179,Washington,Dfa,35.5587,-77.0545,United States,16014.0
180,Washington,Dfa,40.7587,-74.9825,United States,15357.0
181,Washington,Dfa,39.7494,-77.558,United States,14627.0
182,Washington,Dfa,38.5514,-91.0151,United States,14417.0
183,Washington,Dfa,38.6587,-87.1591,United States,13565.0
184,Washington,Dfa,40.174,-80.2466,United States,13433.0
185,Washington,Dfa,40.9884,-74.0637,United States,9237.0
186,Washington,Dfa,41.2982,-91.6928,United States,7230.0
187,Washington,Dfa,40.5093,-79.6011,United States,7109.0
188,Washington,Dfa,40.7389,-75.6392,United States,6748.0
189,Washington,Dfa,40.8467,-75.1972,United States,5232.0
190,Qiqihar,Dwa,47.3398,123.9512,China,5367003.0
191,Suzhou,Cfa,33.6333,116.9683,China,5352924.0
192,Suzhou,Cfa,31.304,120.6164,China,5103000.0
193,Shantou,Cwa,23.3735,116.6941,China,5319028.0
194,Weinan,Cwa,34.4996,109.4684,China,5286077.0
195,Changzhou,Cfa,31.8122,119.9692,China,5278121.0
196,Singapore,Af,1.3,103.8,Singapore,5271000.0
197,Fuzhou,Cfa,26.0769,119.2917,China,5245000.0
198,Fuzhou,Cfa,27.9814,116.3577,China,4047200.0
199,Pudong,Cfa,31.2231,121.5397,China,5187200.0
200,Belo Horizonte,Cwa,-19.9281,-43.9419,Brazil,5159000.0
201,Zhangzhou,Cfa,24.5093,117.6612,China,5140000.0
202,Yuncheng,Cwa,35.0304,110.998,China,5134779.0
203,Xianyang,Cwa,34.35,108.7167,China,5096001.0
204,Guilin,Cfa,25.2667,110.2833,China,5085500.0
205,Taizhou,Cfa,32.4831,119.9,China,5031000.0
206,Taizhou,Cfa,28.6583,121.4221,China,1030200.0
207,Abidjan,Aw,5.3364,-4.0267,Côte d'Ivoire,4980000.0
208,Huaihua,Cfa,27.5494,109.9592,China,4979600.0
209,Ji’an,Cfa,27.1172,114.9793,China,4956600.0
210,Xiaoganzhan,Cfa,30.9273,113.911,China,4921000.0
211,Pingdingshan,Cwa,33.735,113.2999,China,4904701.0
212,Jiujiang,Cfa,29.7048,116.0021,China,4896800.0
213,Sūrat,As,21.17,72.83,India,4875000.0
214,Guiyang,Cwa,26.5794,106.7078,China,4881900.0
215,Alexandria,Cfb,31.2,29.9167,Egypt,4870000.0
216,Alexandria,Cfb,38.8185,-77.0861,United States,159428.0
217,Alexandria,Cfb,43.9686,25.3333,Romania,45434.0
218,Alexandria,Cfb,31.2923,-92.4702,United States,80129.0
219,Alexandria,Cfb,45.8777,-95.3766,United States,21204.0
220,Alexandria,Cfb,-6.4128,-38.0158,Brazil,13507.0
221,Alexandria,Cfb,38.9621,-84.386,United States,9715.0
222,Alexandria,Cfb,55.98,-4.58,United Kingdom,6860.0
223,Bozhou,Cwa,33.8626,115.7742,China,4850657.0
224,Sydney,Cfa,-33.865,151.2094,Australia,4840600.0
225,Huizhou,Cwa,23.1115,114.4152,China,4830000.0
226,Huai’an,Cwa,33.5,119.1331,China,4799889.0
227,Chenzhou,Cfa,25.7989,113.0267,China,4744500.0
228,Barcelona,Af,41.3825,2.1769,Spain,4735000.0
229,Barcelona,Af,10.1333,-64.6833,Venezuela,448016.0
230,Barcelona,Af,12.8667,124.1333,Philippines,20987.0
231,Anqing,Cfa,30.5,117.0333,China,4723000.0
232,Suqian,Cwa,33.9331,118.2831,China,4719178.0
233,Boston,Dfb,42.3188,-71.0846,United States,4688346.0
234,Boston,Dfb,7.8667,126.3667,Philippines,14618.0
235,Boston,Dfb,42.6528,-78.7555,United States,8042.0
236,Jiangmen,Cwa,22.5833,113.0833,China,4630300.0
237,Mianyang,Cwa,31.4669,104.7385,China,4613862.0
238,Harbin,Dwa,45.75,126.6333,China,4583000.0
239,Huanglongsi,Cwa,34.7936,114.3403,China,4564900.0
240,Melbourne,Cfa,-37.8136,144.9631,Australia,4529500.0
241,Melbourne,Cfa,28.1085,-80.6627,United States,83029.0
242,Zibo,Cwa,36.7831,118.0497,China,4530597.0
243,Dalian,Dwa,38.9,121.6,China,4480000.0
244,Hengshui,BSk,37.7348,115.686,China,4472000.0
245,Yibin,Cwa,28.7596,104.64,China,4471896.0
246,Yangzhou,Cfa,32.3912,119.4363,China,4459760.0
247,Timbío,Cfb,2.3528,-76.6819,Colombia,4444444.0
248,Johannesburg,Cwb,-26.2044,28.0416,South Africa,4434827.0
249,Yiyang,Cfa,28.5833,112.3333,China,4413800.0
250,Yiyang,Cfa,26.4103,112.3913,China,810447.0
251,Guigang,Cfa,23.0961,109.6092,China,4409200.0
252,Xinpu,Cwa,34.5906,119.1801,China,4393482.0
253,Meizhou,Cfa,24.2998,116.1191,China,4378800.0
254,Casablanca,Csb,33.5992,-7.62,Morocco,4370000.0
255,Casablanca,Csb,-33.3167,-71.4167,Chile,21874.0
256,Langfang,Dwa,39.5196,116.7006,China,4358839.0
257,Zhangjiakou,Dwb,40.8108,114.8811,China,4345485.0
258,Chifeng,BSk,42.2663,118.9223,China,4341245.0
259,Linfen,BSk,36.0812,111.5087,China,4316610.0
260,Jiangguanchi,Cwa,34.0244,113.8201,China,4307488.0
261,Kabul,Dsb,34.5328,69.1658,Afghanistan,4273156.0
262,Phoenix,BSh,33.5722,-112.0891,United States,4219697.0
263,Luzhou,Cwa,28.8918,105.4409,China,4218427.0
264,Luzhou,Cwa,23.3687,114.5196,China,15890.0
265,Taiyuan,Dwa,37.8733,112.5425,China,4201592.0
266,Zhaoqing,Cfa,23.05,112.4667,China,4151700.0
267,Xiaoxita,Cfa,30.7083,111.2803,China,4137900.0
268,Xiamen,Cfa,24.4797,118.0819,China,4110000.0
269,Liuzhou,Cfa,24.3264,109.4281,China,4041700.0
270,Zhuzhou,Cfa,27.8407,113.1469,China,4020800.0
271,Amman,BSh,31.95,35.9333,Jordan,4007526.0
272,Jeddah,BWh,21.5428,39.1728,Saudi Arabia,3976000.0
273,Chuzhou,Cfa,32.3062,118.3115,China,3937868.0
274,Loudi,Cfa,27.7378,111.9974,China,3931800.0
275,Deyang,Cwa,31.1289,104.395,China,3877000.0
276,Qingyuan,Cfa,23.6842,113.0507,China,3874000.0
277,Qingyuan,Cfa,24.5004,108.6667,China,47062.0
278,Kano,BSh,12.0,8.5167,Nigeria,3848885.0
279,Wuhu,Cfa,31.334,118.3622,China,3842100.0
280,Seattle,Csb,47.6211,-122.3244,United States,3789215.0
281,Yokohama,Cfa,35.4333,139.6333,Japan,3757630.0
282,Binzhou,Cwa,37.3806,118.0125,China,3748474.0
283,Baojishi,Cwb,34.3609,107.1751,China,3738700.0
284,Zaozhuang,Cwa,34.8667,117.55,China,3729140.0
285,Neijiang,Cwa,29.5872,105.0635,China,3702847.0
286,Baicheng,BWk,23.901,106.6194,China,3669400.0
287,Baicheng,BWk,45.6148,122.832,China,2032356.0
288,Baicheng,BWk,41.7957,81.8715,China,49207.0
289,Berlin,Dfb,52.5167,13.3833,Germany,3664088.0
290,Berlin,Dfb,41.6114,-72.7758,United States,20484.0
291,Berlin,Dfb,44.4869,-71.2599,United States,11237.0
292,Berlin,Dfb,39.7915,-74.9375,United States,7536.0
293,Berlin,Dfb,43.9704,-88.9505,United States,5385.0
294,Anshan,Dwa,41.1066,122.9895,China,3645884.0
295,Anshan,Dwa,39.7144,118.9964,China,45804.0
