,Lat,Lon,Cls,Nearest City
0,-89.75,-179.75,EF,vaini
1,-89.75,-179.25,EF,vaini
2,-89.75,-178.75,EF,vaini
3,-89.75,-178.25,EF,vaini
4,-89.75,-177.75,EF,vaini
5,-89.75,-177.25,EF,vaini
6,-89.75,-176.75,EF,vaini
7,-89.75,-176.25,EF,vaini
8,-89.75,-175.75,EF,vaini
9,-89.75,-175.25,EF,vaini
10,-89.75,-174.75,EF,vaini
11,-89.75,-174.25,EF,vaini
12,-89.75,-173.75,EF,vaini
13,-89.75,-173.25,EF,vaini
14,-89.75,-172.75,EF,vaini
15,-89.75,-172.25,EF,vaini
16,-89.75,-171.75,EF,vaini
17,-89.75,-171.25,EF,vaini
18,-89.75,-170.75,EF,vaini
19,-89.75,-170.25,EF,vaini
20,-89.75,-169.75,EF,vaini
21,-89.75,-169.25,EF,vaini
22,-89.75,-168.75,EF,vaini
23,-89.75,-168.25,EF,vaini
24,-89.75,-167.75,EF,mataura
25,-89.75,-167.25,EF,mataura
26,-89.75,-166.75,EF,mataura
27,-89.75,-166.25,EF,mataura
28,-89.75,-165.75,EF,mataura
29,-89.75,-165.25,EF,mataura
30,-89.75,-164.75,EF,mataura
31,-89.75,-164.25,EF,mataura
32,-89.75,-163.75,EF,mataura
33,-89.75,-163.25,EF,mataura
34,-89.75,-162.75,EF,mataura
35,-89.75,-162.25,EF,mataura
36,-89.75,-161.75,EF,mataura
37,-89.75,-161.25,EF,mataura
38,-89.75,-160.75,EF,mataura
39,-89.75,-160.25,EF,mataura
40,-89.75,-159.75,EF,mataura
41,-89.75,-159.25,EF,mataura
42,-89.75,-158.75,EF,mataura
43,-89.75,-158.25,EF,mataura
44,-89.75,-157.75,EF,mataura
45,-89.75,-157.25,EF,mataura
46,-89.75,-156.75,EF,mataura
47,-89.75,-156.25,EF,mataura
48,-89.75,-155.75,EF,mataura
49,-89.75,-155.25,EF,mataura
50,-89.75,-154.75,EF,mataura
51,-89.75,-154.25,EF,mataura
52,-89.75,-153.75,EF,mataura
53,-89.75,-153.25,EF,mataura
54,-89.75,-152.75,EF,mataura
55,-89.75,-152.25,EF,mataura
56,-89.75,-151.75,EF,mataura
57,-89.75,-151.25,EF,mataura
58,-89.75,-150.75,EF,mataura
59,-89.75,-150.25,EF,mataura
60,-89.75,-149.75,EF,mataura
61,-89.75,-149.25,EF,mataura
62,-89.75,-148.75,EF,mataura
63,-89.75,-148.25,EF,mataura
64,-89.75,-147.75,EF,mataura
65,-89.75,-147.25,EF,mataura
66,-89.75,-146.75,EF,mataura
67,-89.75,-146.25,EF,mataura
68,-89.75,-145.75,EF,mataura
69,-89.75,-145.25,EF,mataura
70,-89.75,-144.75,EF,mataura
71,-89.75,-144.25,EF,mataura
72,-89.75,-143.75,EF,mataura
73,-89.75,-143.25,EF,mataura
74,-89.75,-142.75,EF,mataura
75,-89.75,-142.25,EF,mataura
76,-89.75,-141.75,EF,mataura
77,-89.75,-141.25,EF,mataura
78,-89.75,-140.75,EF,rikitea
79,-89.75,-140.25,EF,rikitea
80,-89.75,-139.75,EF,rikitea
81,-89.75,-139.25,EF,rikitea
82,-89.75,-138.75,EF,rikitea
83,-89.75,-138.25,EF,rikitea
84,-89.75,-137.75,EF,rikitea
85,-89.75,-137.25,EF,rikitea
86,-89.75,-136.75,EF,rikitea
87,-89.75,-136.25,EF,rikitea
88,-89.75,-135.75,EF,rikitea
89,-89.75,-135.25,EF,rikitea
90,-89.75,-134.75,EF,rikitea
91,-89.75,-134.25,EF,rikitea
92,-89.75,-133.75,EF,rikitea
93,-89.75,-133.25,EF,rikitea
94,-89.75,-132.75,EF,rikitea
95,-89.75,-132.25,EF,rikitea
96,-89.75,-131.75,EF,rikitea
97,-89.75,-131.25,EF,rikitea
98,-89.75,-130.75,EF,rikitea
99,-89.75,-130.25,EF,rikitea
100,-89.75,-129.75,EF,rikitea
101,-89.75,-129.25,EF,rikitea
102,-89.75,-128.75,EF,rikitea
103,-89.75,-128.25,EF,rikitea
104,-89.75,-127.75,EF,rikitea
105,-89.75,-127.25,EF,rikitea
106,-89.75,-126.75,EF,punta arenas
107,-89.75,-126.25,EF,punta arenas
108,-89.75,-125.75,EF,punta arenas
109,-89.75,-125.25,EF,punta arenas
110,-89.75,-124.75,EF,punta arenas
111,-89.75,-124.25,EF,punta arenas
112,-89.75,-123.75,EF,punta arenas
113,-89.75,-123.25,EF,punta arenas
114,-89.75,-122.75,EF,punta arenas
115,-89.75,-122.25,EF,punta arenas
116,-89.75,-121.75,EF,punta arenas
