,Cls,Nearest City
0,EF,vaini
24,EF,mataura
78,EF,rikitea
106,EF,punta arenas
176,EF,ushuaia
332,EF,hermanus
384,EF,bredasdorp
417,EF,kruisfontein
422,EF,port elizabeth
440,EF,port alfred
479,EF,east london
486,EF,taolanaro
507,EF,busselton
534,EF,albany
598,EF,new norfolk
619,EF,hobart
660,EF,bluff
717,EF,kaitangata
2491,EF,cape town
15183,EF,saint-philippe
18993,EF,mar del plata
25149,EF,tsihombe
25503,ET,tuatapere
25520,ET,rocha
25544,Cfc,rio gallegos
25608,BSk,rawson
25637,Cfc,coihaique
25659,Cfc,christchurch
25681,ET,souillac
25697,BSk,comodoro rivadavia
25781,Cfb,riverton
25783,Cfb,wyndham
25806,Cfb,wallacetown
25807,Cfb,edendale
25809,Cfb,balclutha
25810,Cfb,milton
25828,Cfc,te anau
25830,Cfb,winton
25832,Cfb,clyde
25834,Cfb,outram
25835,Cfb,waitati
25861,Cfb,ranfurly
25864,Cfb,pareora
25865,Cfb,castro
25883,BSk,trelew
25887,Cfc,wanaka
25917,Cfb,fairlie
25919,Cfb,pleasant point
25920,Cfb,timaru
25949,Cfb,methven
25951,Cfb,leeston
25957,Cfc,calbuco
25959,Cfb,san carlos de bariloche
25979,Cfb,hokitika
25984,Cfb,oxford
25985,Cfb,sefton
25986,Cfb,amberley
26005,BSk,puerto madryn
26018,Cfb,dobson
26020,Cfb,hanmer springs
26044,Cfb,burnie
26045,Cfb,ulverstone
26052,Cfb,reefton
26056,Cfb,seddon
26057,Cfb,ancud
26059,Cfb,puerto montt
26068,BSk,general roca
26078,Cfb,devonport
26079,Cfb,launceston
26083,Cfb,westport
26084,Cfb,murchison
26086,Cfb,brightwater
26089,Cfb,waipawa
26091,Cfb,puerto varas
26100,BSk,neuquen
26108,BSk,viedma
26120,Cfb,karamea
26121,Cfb,riwaka
26122,Cfb,nelson
26123,Cfb,havelock
26125,Cfb,wellington
26128,Cfb,masterton
26129,Cfb,purranque
26131,Cfb,osorno
26132,Cfb,rio bueno
26160,Cfb,takaka
26161,Cfb,te horo
26162,Cfb,otaki
26165,Cfb,la union
26168,Cfb,panguipulli
26189,Cfb,jamestown
26190,Csb,colac
26195,Cfb,bulls
26196,Cfb,palmerston north
26197,Cfb,takapau
26198,Cfb,otane
26199,Cfb,valdivia
26201,Cfb,loncoche
26204,Cfb,villarrica
26222,Cfb,punta alta
26225,Cfb,sale
26226,Cfb,lakes entrance
26227,Cfb,opunake
26228,Cfb,hawera
26229,Cfb,waverley
26230,Cfb,wanganui
26231,Cfb,hunterville
26233,Cfb,hastings
26253,BSk,bahia blanca
26258,Csb,wonthaggi
26260,Cfb,okato
26261,Cfb,eltham
26263,Cfb,waiouru
26265,Cfb,turangi
26266,Cfb,napier
26267,Cfb,wairoa
26269,Cfb,vilcun
26284,BSk,santa rosa
26292,Cfb,tres arroyos
26295,Cfb,necochea
26298,Cfb,warrnambool
26303,Cfb,morwell
26304,Cfb,traralgon
26305,Cfb,waitara
26306,Cfb,piopio
26309,Cfb,taupo
26310,Cfb,murupara
26312,Cfb,manutuke
26313,Cfb,gisborne
26314,Csb,traiguen
26315,Csb,victoria
26345,Csb,mount gambier
26346,Csb,portland
26352,Cfb,geelong
26353,Cfb,clifton springs
26355,Cfb,warragul
26360,Cfb,kawhia
26361,Cfb,otorohanga
26362,Cfb,tokoroa
26363,Cfb,reporoa
26364,Cfb,kawerau
26365,Cfb,opotiki
26366,Cfb,te karaka
26367,Cfb,tolaga bay
26368,Csb,lebu
26369,Csb,canete
26370,Csb,angol
26371,Csb,mulchen
26375,Csb,coihueco
26396,Cfb,tandil
26405,Csb,hamilton
26407,Cfb,ararat
26409,Cfb,ballarat
26410,Cfb,lara
26411,Cfb,sunbury
26412,Cfb,healesville
26416,Cfb,bairnsdale
26421,Cfb,cooma
26422,Cfb,raglan
26424,Cfb,waharoa
26425,Cfb,tauranga
26426,Cfb,matata
26428,Cfb,ruatoria
26430,Csb,arauco
26431,Csb,laja
26432,Csb,los angeles
26453,Cfa,olavarria
26457,Cfb,azul
26473,Cfb,maryborough
26474,Cfb,castlemaine
26476,Cfb,craigieburn
26478,Cfb,benalla
26487,Cfb,waiuku
26488,Cfb,te kauwhata
26489,Cfb,whangamata
26490,Csb,talcahuano
26491,Csb,penco
26492,Csb,bulnes
26497,Csb,linares
26498,Csb,san rafael
26511,Cfa,general pico
26520,Cfb,dolores
26527,Cfb,horsham
26530,Cfb,stawell
26533,Cfb,bendigo
26535,Cfb,kyabram
26538,Cfb,wangaratta
26539,Cfb,wodonga
26545,Cfb,batemans bay
26546,Cfb,parakai
26547,Cfb,north shore
26548,Cfb,coromandel
26549,Cfb,whitianga
26550,Csb,tome
26551,Csb,cauquenes
26552,Csb,parral
26553,Csb,longavi
26556,Csb,san clemente
26571,Cfa,lincoln
26572,Cfa,nueve de julio
26583,Csb,port lincoln
26584,Csb,victor harbor
26586,Csb,murray bridge
26601,Cfb,albury
26608,Cfb,dargaville
26609,Cfb,maungaturoto
26610,Cfb,warkworth
26613,Csb,san javier
26616,Csb,molina
26636,Cfa,veinticinco de mayo
26639,Cfa,san vicente
26655,BSk,swan hill
26658,BSk,deniliquin
26661,Cfa,corowa
26665,Cfb,tumut
26667,Cfb,canberra
26668,Cfb,queanbeyan
26671,Cfb,ahipara
26673,Cfb,maungatapere
26674,Csb,constitucion
26675,Csb,talca
26678,Csc,chimbarongo
26679,Csb,rengo
26686,Cfa,mercedes
26699,Cfa,chivilcoy
26703,Cfa,la plata
26711,Csb,adelaide
26714,Csb,mount barker
26719,BSk,mildura
26729,BSk,leeton
26730,Cfa,wagga wagga
26736,Cfb,goulburn
26737,Cfb,ulladulla
26740,Cfb,okaihau
26741,Cfb,russell
26743,Csb,santa cruz
26744,Csb,teno
26747,Csb,machali
26753,BSk,san luis
26765,Cfa,junin
26766,Cfa,chacabuco
26769,Cfa,lujan
26772,Cfa,juan lacaze
26773,Cfa,delta del tigre
26774,Cfa,la paz
26775,Cfa,pando
26776,Cfb,maldonado
26777,Cfb,san carlos
26783,Csb,collie
26796,Csb,gawler
26810,BSk,griffith
26814,Cfa,cootamundra
26816,Cfb,young
26819,Cfb,moss vale
26820,Cfb,kiama
26825,Csb,rancagua
26838,Cfa,rio cuarto
26840,Cfa,venado tuerto
26848,Cfa,zarate
26849,Cfa,campana
26850,Cfa,carmelo
26851,Cfa,colonia
26852,Cfa,nueva helvecia
26853,Cfa,san jose
26854,Cfa,florida
26856,Cfa,minas
26861,Csb,somerset west
26863,BSk,caledon
26864,BSk,swellendam
26867,BSk,george
26869,Cfb,knysna
26870,Cfb,plettenberg bay
26886,Csb,esperance
26914,Cfa,cowra
26917,Cfb,mittagong
26918,Cfb,wollongong
26919,Cfb,sydney
26921,Csb,san antonio
26922,Csb,melipilla
26923,Csb,buin
26924,Csb,san bernardo
26925,ET,santiago
26927,BSk,rivadavia
26938,Cfa,bell ville
26942,Cfa,pergamino
26945,Cfa,san pedro
26950,Cfa,trinidad
26955,Cfa,treinta y tres
